Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2/1/2013,46937.6,47050.06,46851.16,46945.58,156488093
2/4/2013,47197.86,47296.06,46556.55,46556.55,76018568
2/5/2013,46634.33,46702.17,46506,46674.78,67816009
2/6/2013,46768.33,46815.01,46149.14,46149.14,122025373
2/7/2013,46180.14,46584.66,46122.83,46329.66,97889803
2/8/2013,46525.63,46771.38,46449.94,46741.54,77912456
2/11/2013,46851.89,46971.98,46676,46786.74,73481383
2/12/2013,46701.32,46958.65,46271.41,46399.26,229992199
2/13/2013,46435.12,46569.13,46346.28,46406.74,200788582
2/14/2013,46427.97,46490.28,45982.28,46211.54,116365054
2/15/2013,46097.73,46431.79,45969.44,46370.13,84614073
2/18/2013,46493.2,46630.43,46472.45,46508.27,84792606
2/19/2013,46524.73,46728.06,46410.65,46490.89,101075673
2/20/2013,46385.73,46509.44,45978.13,46051.76,92505987
2/21/2013,45874.21,45879.9,45420.61,45879.9,110791594
2/22/2013,45916.93,45948.12,45750.01,45948.12,86868490
2/25/2013,46012.95,46391.35,45961.9,46286.28,100319197
2/26/2013,45798.41,45915.37,45761.19,45868.35,87284155
2/27/2013,46035.32,46242.06,45943.94,46241.92,113558014
2/28/2013,46411.17,46457.18,46155.41,46280.36,115824122
3/1/2013,46148.65,46341.17,45926.71,46341.14,69274154
3/4/2013,46200.8,46254.67,46038.7,46137.7,89799366
3/5/2013,46258.56,46676.09,46258.02,46676.09,125680301
3/6/2013,46760.93,46979.4,46705.81,46762.65,112064623
3/7/2013,46774.55,46849.57,46664.07,46745.26,101670875
3/8/2013,46915.5,47277.75,46872.89,47074.39,103661812
3/11/2013,47152.59,47174.99,46878.72,46933.03,154694049
3/12/2013,46975.34,47035.12,46866.32,47010.4,85663868
3/13/2013,46969.17,47028.37,46765.82,46888.37,88111918
3/14/2013,46877.63,47363.97,46877.63,47223.68,114938479
3/15/2013,47443.3,47519.43,47088.82,47125.93,179167987
3/18/2013,46696.35,46761.16,46345.72,46668.41,67707798
3/19/2013,46622.09,46659.64,45995.77,46029.35,74257300
3/20/2013,46162.49,46335.96,46040.53,46068.24,85519656
3/21/2013,46258.95,46258.95,45482.95,45580.47,116999872
3/22/2013,45467.91,45475.73,45066.18,45066.18,151966910
3/25/2013,45519.57,45600.38,44548.19,44585.1,98318535
3/26/2013,44685.12,44724.95,44428.75,44724.88,128083814
3/27/2013,44802.92,45247.9,44569.5,45247.9,134358207
3/28/2013,45041.97,45370.36,44844.25,45147.57,139764760
4/2/2013,45239.35,45304.74,45097.58,45304.74,132682193
4/3/2013,45242.32,45243.36,44431.69,44604.61,189032354
4/4/2013,44581.23,44706.63,44319.26,44623.89,161975024
4/5/2013,44712.09,44889.5,44411.78,44597.66,104635295
4/8/2013,44926.19,45104.66,44590.97,44590.97,154646796
4/9/2013,44841.78,44898.8,44582.08,44725.03,102208245
4/10/2013,44799.28,45235.72,44772.65,45091.63,170679824
4/11/2013,45268.28,45688.49,45165.25,45688.48,148976792
4/12/2013,45626.64,45669.53,45352.79,45525.92,120049853
4/15/2013,45358.09,45490.16,44565.37,44724.14,89968914
4/17/2013,44975.83,44975.83,43794.24,43916.24,128195699
4/18/2013,43855,43893.76,43364.51,43364.7,91259614
4/19/2013,43530.31,43580.77,43141.71,43447.75,127645276
4/22/2013,43546.36,43749.48,43236.07,43360.3,117868007
4/23/2013,43248.41,43309.88,42842.07,43159.57,156175848
4/24/2013,43291.17,43399.26,42884.23,43356.73,234695654
4/25/2013,43497.45,43549.14,43145.85,43482.18,263592544
4/26/2013,43537.54,43791.36,43399.92,43665.21,219889513
4/29/2013,43834.9,43939.64,43746.64,43882.16,231838816
4/30/2013,43991.73,44162.18,43507.54,44162.18,197809098
5/2/2013,44103.66,44312.36,43991.51,43991.51,76843172
5/6/2013,44248.91,44541.73,44102.6,44541.73,72049630
5/7/2013,44493.84,44870.27,44446.89,44742.22,87345609
5/8/2013,44855.8,45117.94,44818.03,45117.94,61130989
5/9/2013,45229,45267.72,44853.93,44943.16,75794240
5/10/2013,44949.76,45064.61,44787.58,44895.35,63972796
5/13/2013,44886.6,45207.84,44865.89,45207.84,81162527
5/14/2013,45300.28,45806.74,45142.41,45771.11,104696581
5/15/2013,46021.41,46102.42,45742.35,46102.42,65431132
5/16/2013,46095.33,46142.74,45854.66,45992.03,83242185
5/17/2013,45928.76,46197.82,45869.71,46078.68,88135593
5/20/2013,46213.82,46527.02,46041.03,46041.35,108103229
5/21/2013,46207.43,46303.41,45825.96,45851.8,100613267
5/22/2013,46039.01,46085.62,45826.31,45933.66,82605207
5/23/2013,45260.28,45746.16,45167.72,45687.76,89700944
5/24/2013,45786.93,46273.73,45786.93,46145.44,81533740
5/27/2013,46332.11,47277.1,46332.11,47277.1,79167097
5/28/2013,47458.86,47841.39,47343.19,47579.87,83694963
5/29/2013,47482.8,47663.2,47338.37,47476.64,121385944
5/31/2013,47317.93,47806.34,47317.93,47806.34,204228479
6/3/2013,47398.14,47564.28,47084.75,47175.79,105529198
6/4/2013,47326.56,47640.95,47326.56,47620.68,92808427
6/5/2013,47537.68,47880.92,47422.63,47805.94,76605138
6/6/2013,47754.39,47861.11,47550.94,47573.66,104094229
6/7/2013,47611.56,48431.46,47571.46,48209.65,87255623
